UNIT_BUILD_TIME_IW;$VAL$ days.;$VAL$ jours.;$VAL$ Tage.;;;;;;;;;;;x
SUPPLY_OWNER;Owner:;Possesseur :;Besitzer:;W³aœciciel:;Infantería de testuz y cuernos;Possessore:;Tulajdonos:;Vlastník:;;;;;;x
SUPPLY_ALLIED;Allied:;Allié :;Verbündet:;Sojusze:;Cuanta más población haya, mayores serán la producción y los ingresos por impuestos.;Alleato:;Szövetségben:;Spojenecký:;;;;;;x
SUPPLY_ACCESS;Military Access:;Accès militaire :;Militärzugang:;Przemarsz wojsk:;La población crecerá automáticamente como efecto de una gran estabilidad, paz y tranquilidad. Disminuirá como efecto de un saqueo, ocupación o una escasa estabilidad.\n;Accesso militare:;Katonai hozzáférés:;Vojenský pøístup:;;;;;;x
SUPPLY_CONTROLLER;Controlled:;Contrôleur :;Kontrolliert:;Kontrolowane przez:;Peso máximo' de unidades que la provincia puede abastecer sin acusar desgaste. El desgaste real también depende de varios factores más. Una cifra en rojo indica que las unidades estarán desabastecidas (lo que aumenta el desgaste). Los números en amarillo indican provincias adyacentes a fuentes de suministros.;Controllato:;Irányító:;Ovládáno:;;;;;;x
SUPPLY_CONTROLLER_ALLIANCE;Controlled by an ally:;Contrôleur allié :;Von einem Verbündeten kontrolliert:;Kontrolowane przez sojusznika:;Base;Controllato da alleato:;Szövetséges által irányított:;Ovládáno spojencem:;;;;;;x
SUPPLY_SIEGE;Is besieging:;Assiège :;Belagert:;Oblega:;Propietario:;Sta assediando:;Ostrom alatt:;Obléhá:;;;;;;x
SUPPLY_CORE;Core:;Territoire clé :;Kernprovinz:;;;;;;;;;;;x
fascist_uh;Fascists support the extension of social reform, and the removal of political reform, but will oppose any reform as long as the ruling party is not Fascist.;Les fascistes soutiennent la poursuite des réformes sociales et le retrait des réformes politiques à condition que le parti dirigeant partage leur idéologie.;Faschisten unterstützen die Ausweitung von Sozialreformen und die Außerkraftsetzung von Politikreformen - aber nur, wenn Ihre Regierungspartei faschistisch ist.;;;;;;;;;;;x
reactionary_uh;Reactionaries always attempt to roll back both political and social reforms.;Les réactionnaires sont toujours contre les réformes.;Reaktionäre versuchen stets, Reformen rückgängig zu machen.;;;;;;;;;;;x
conservative_uh;Conservatives prefer the status-quo, but may back reforms under conditions of high militancy.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;;;;;;;;;;x
socialist_uh;Socialists want to see the enactment of further social reforms, but may back political reforms under conditions of high militancy.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;;;;;;;;;;x
communist_uh;Communists want to enact social reforms, but want to see political reforms rolled back.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;;;;;;;;;;x
liberal_uh;Liberals want to enact further political reforms, but will also support social reform under conditions of high militancy.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;;;;;;;;;;x
anarcho_liberal_uh;Anarcho-Liberals want to see social reforms rolled back, and will never support further reforms of any kind.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;;;;;;;;;;x
RP_ACCUMULATED;We have accumulated §Y$VAL$§W research points that are currently unused.;Nous disposons de §Y$VAL$§W points de recherche actuellement inutilisés.;Wir haben §Y$VAL$§W Forschungspunkte angesammelt, die derzeit nicht verwendet werden.;;;;;;;;;;;x
WEGAINCB_SETUP;When we gain a Casus Belli;Si nous obtenons un casus belli;Wenn wir einen Kriegsgrund erhalten;;;;;;;;;;;x
WEGAINCB_HEADER;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;;;;;;x
WEGAINCB_1;Casus Belli;Casus belli;Kriegsgrund;;;;;;;;;;;x
WEGAINCB_2;We have gained the;Nous avons obtenu un;Wir erhielten den;;;;;;;;;;;x
WEGAINCB_3;'$CASUS$' Casus Belli;"casus belli ""$CASUS$""";Kriegsgrund '$CASUS$';;;;;;;;;;;x
WEGAINCB_4;against;contre;gegen;;;;;;;;;;;x
WEGAINCB_5;$ENEMY$;$ENEMY$;$ENEMY$;;;;;;;;;;;x
WEGAINCB_6;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;x
WEGAINCB_LOG;We gained the '$CASUS$' Casus Belli against $ENEMY$.;"Nous avons obtenu un casus belli ""$CASUS$"" contre $ENEMY$.";Wir erhielten den Kriegsgrund '$CASUS$' gegen $ENEMY$.;;;;;;;;;;;x
WEGAINCB_BTN1;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEGAINCB_BTN2;OK;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEGAINCB_BTN3;Goto;Aller à;Goto;IdŸ do;GOTO;Andare;Ugrás;Pøejít na;;;;;;x
WEGAINCB_MAP;*;*;*;*;*;*;*;;;;;;;x
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$ War of $COUNTRY_ADJ$ Freedom;$ORDER$$FIRST$ guerre de la liberté $COUNTRY_ADJ$;$ORDER$$FIRST$ $COUNTRY_ADJ$ Freiheitskrieg;;;;;;;;;;;x
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$ War of Propping up $COUNTRY$;$ORDER$$FIRST$ guerre de soutien de $COUNTRY$;$ORDER$$FIRST$ Krieg zur Absicherung von $COUNTRY$;;;;;;;;;;;x
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial Conquest of $STATE$;$ORDER$$FIRST$ conquête coloniale de $STATE$;$ORDER$$FIRST$ Kolonialeroberung von $STATE$;;;;;;;;;;;x
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$ Colonial War for $STATE$;$ORDER$$FIRST$ guerre coloniale pour $STATE$;$ORDER$$FIRST$ Kolonialkrieg um $STATE$;;;;;;;;;;;x
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST$ Conquest of $STATE$;$ORDER$$FIRST$ conquête de $STATE$;$ORDER$$FIRST$ Eroberung von $STATE$;;;;;;;;;;;x
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$ War of $STATE$;$ORDER$$FIRST$ guerre de $STATE$;$ORDER$$FIRST$ Krieg von $STATE$;;;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Liberation of $STATE$;$ORDER$$FIRST$ libération de $STATE$;$ORDER$$FIRST$ Befreiung von $STATE$;;;;;;;;;;;x
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ Aggression for $STATE$;$ORDER$$FIRST$ aggression pour $STATE$;$ORDER$$FIRST$ Aggression um $STATE$;;;;;;;;;;;x
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$$COUNTRY$ War;$ORDER$ guerre de $COUNTRY$;$ORDER$$COUNTRY$ Krieg;;;;;;;;;;;x
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$$FIRST$-$SECOND$ War over $COUNTRY$;$ORDER$ guerre $FIRST$-$SECOND$ pour $COUNTRY$;$ORDER$$FIRST$-$SECOND$ Krieg um $COUNTRY$;;;;;;;;;;;x
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$War of $SECOND$ Submission;$ORDER$ guerre de la soumission $SECOND$;$ORDER$Krieg der $SECOND$ Unterwerfung;;;;;;;;;;;x
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$War of $SECOND$ Subjugation;$ORDER$ guerre de la subjugation $SECOND$;$ORDER$Krieg der $SECOND$ Unterjochung;;;;;;;;;;;x
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$ Bürgerkrieg;;;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ Civil War;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$ Bürgerkrieg;;;;;;;;;;;x
NORMAL_WAR_CONQUEST_NAME;$ORDER$Conquest of $SECOND$ War;$ORDER$ conquête de la guerre $SECOND$;$ORDER$Eroberung des $SECOND$ Krieges;;;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME;$ORDER$War of $FIRST$ Aggression against $SECOND_COUNTRY$;$ORDER$ guerre de l'aggression $FIRST$ sur $SECOND$;$ORDER$Krieg der $FIRST$ Aggression gegen $SECOND$;;;;;;;;;;;x
ADJ_FORT_EXTRA_ATTR;And §R+$VAL$%§W from hostile adjacent forts.;Et §R+$VAL$%§W des forts adjacents ennemis.;Und §R+$VAL$%§W von feindlichen Forts in der Nähe.;;;;;;;;;;;x
IS_NOT_ACCEPTED_CULTURE_POP;does not belong to an accepted culture.\n;n'appartient pas à une culture acceptée.\n;gehört nicht zu einer akzeptierten Kultur.\n;;;;;;;;;;;x
IS_ACCEPTED_CULTURE_POP;belong to an accepted culture.\n;appartient à une culture acceptée.\n;gehört zu einer akzeptierten Kultur.\n;;;;;;;;;;;x
IS_NOT_PRIMARY_CULTURE_POP;Is not §Y$NAME$§W\n;N'est pas §Y$NAME$§W\n;Ist nicht §Y$NAME$§W\n;;;;;;;;;;;x
IS_PRIMARY_CULTURE_POP;Is §Y$NAME$§W\n;Est §Y$NAME$§W\n;Ist §Y$NAME$§W\n;;;;;;;;;;;x
NEW_CORE_EFFECT_TAG2;$TAG$ will gain §Y$NEW$§W as core.\n;$TAG$ obtiendra §Y$NEW$§W comme territoire clé.\n;$TAG$ erhält §Y$NEW$§W als Kernprovinz.\n;;;;;;;;;;;x
digin;Dig-In;Retranchement;Eingraben;;;;;;;;;;;x
terrain;Terrain;Terrain;Gelände;;;;;;;;;;;x
crossing;Crossing;Passage;Brücke;;;;;;;;;;;x
total_occupation;Occupied Home Provinces;Provinces nationales occupées;Besetzte Heimatprovinzen;;Provincias nacionales ocupadas;;;;;;;;;x
total_blockaded;Blockaded Home Ports;Ports nationaux sous blocus;Blockierte Heimathäfen;;Puertos nacionales bloqueados;;;;;;;;;x
PW_SLAVE_STATE;Slave State;État esclavagiste;Sklavenstaat;;;;;;;;;;;x
CURR_REL_TT;Our current relations.;Nos relations actuelles.;Unsere aktuellen Beziehungen.;;;;;;;;;;;x
great_power;Great Power;Grande puissance;Großmacht;;;;;;;;;;;x
civ_nation;Civilized Nation;Nation civilisée;Zivilisierte Nation;;;;;;;;;;;x
unciv_nation;Uncivilized Nation;Nation non civilisée;Unzivilisierte Nation;;;;;;;;;;;x
REB_TYPE_SIZE;§YRebel Support§W;§YSoutien rebelle§W;§YRebellenunterstützung§W;;;;;;;;;;;x
REB_TYPE_POWER;§YRebel Power§W;§YPuissance rebelle§W;§YRebellenmacht§W;;;;;;;;;;;x
PRODUCTION_MUST_PORT_ONLY;Only produced in ports.\n;Production dans les ports uniquement.\n;Wird nur in Häfen produziert.\n;;;;;;;;;;;x
POPULATION_CHANGED_BY;Population changed by;Évolution démographique :;Bevölkerung geändert um;;;;;;;;;;;x
COMBAT_LEADER_MOD;Leader;Leader;Anführer;;;;;;;;;;;x
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;It is not possible to switch ruling parties in the middle of an election.;Il est impossible de changer de parti dirigeant en cours d'élection.;Während einer Wahl ist es unmöglich, die Regierungspartei zu wechseln.;;;;;;;;;;;x
IS_NOT_OVERSEAS;Is NOT overseas;N'est PAS outremer;Ist KEINE Übersee-Provinz.;;;;;;;;;;;x
IS_OVERSEAS;Is overseas;Est outremer;Ist Übersee-Provinz.;;;;;;;;;;;x
SHIP_SUB_NAME;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;;;;;;;;;;;x
FOLLOWING_HAVE_CLAIMS;The following countries have claims here.;Les pays suivants revendiquent cet endroit.;Die folgenden Länder haben hier Ansprüche:;;;;;;;;;;;x
COUNTRY_IS_NOT_CULTURE;Primary Culture is NOT;La culture principale n'est PAS;Primärkultur ist NICHT;;;;;;;;;;;x
COUNTRY_IS_CULTURE;Primary Culture is;La culture principale est;Primärkultur ist;;;;;;;;;;;x
NO_ASSIM_NOW;No Current Assimilation;Pas d'assimilation pour le moment;Momentan keine Assimilierung;;;;;;;;;;;x
MODIFIER_LOCAL_REPAIR;Ship Repair Speed;Vitesse de réparation des navires;Schiffsreparaturgeschwindigkeit;;;;;;;;;;;x
BADBOY_DRO_1;Monthly Infamy Change:\n;Déshonneur - Évolution mensuelle :\n;Monatliche Infamie-Veränderung:\n;;;;;;;;;;;x
REGIMENT_SIZE;Current Size: §Y$SIZE$§W\n;Taille actuelle : §Y$SIZE$§W\n;Aktuelle Größe: §Y$SIZE$§W\n;;;;;;;;;;;x
CURRENT_MORALE;Organisation: §Y$SIZE$§W of $MAX$.\n;Organisation : §Y$SIZE$§W sur $MAX$.\n;Organisation: §Y$SIZE$§W von $MAX$.\n;;;;;;;;;;;x
SUPPLY_COST;Supply Costs;Frais d'approvisionnement;Versorgungskosten;;;;;;;;;;;x
ALL_CORE_PROVINCE_THAT;For all core provinces ;Pour toutes les provinces clés ;Für alle Kernprovinzen;;;;;;;;;;;x
BREAKCOUNTRY_SETUP;When a rebel faction enforces its demands in our nation;Si une faction rebelle met ses exigences à exécution dans notre nation;Wenn eine Rebellenfraktion ihre Forderungen in unserer Nation erzwingt.;;;;;;;;;;;x
BREAKCOUNTRY_HEADER;Report from $CAPITAL$;Rapport en provenance de $CAPITAL$;Bericht aus $CAPITAL$;;;;;;;;;;;x
BREAKCOUNTRY_1;$FACTION$ Win!;$FACTION$ l'emporte !;Sieg von $FACTION$!;;;;;;;;;;;x
BREAKCOUNTRY_2;$MONARCHTITLE$, the $FACTION$ have enforced their demands!;$MONARCHTITLE$, $FACTION$ a mis ses exigences à exécution !;$MONARCHTITLE$, die $FACTION$ hat ihre Forderungen erzwungen!;;;;;;;;;;;x
BREAKCOUNTRY_3;We have no choice but to accept.;Nous devons accepter.;Wir können nur noch akzeptieren.;;;;;;;;;;;x
BREAKCOUNTRY_4;$EFFECTS$;$EFFECTS$;$EFFECTS$;;;;;;;;;;;x
BREAKCOUNTRY_5;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRY_6;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRY_LOG;$FACTION$ enforce their demands!;$FACTION$ met ses exigences à exécution !;$FACTION$ erzwingt ihre Forderungen!;;;;;;;;;;;x
BREAKCOUNTRY_BTN1;Horror!;Horreur !;Oh Graus!;To straszne!;¡Qué horror!;Orrore!;Rettegés!;Hrùza!;;;;;;x
BREAKCOUNTRY_BTN2;Horror!;Horreur !;Oh Graus!;To straszne!;¡Qué horror!;Orrore!;Rettegés!;Hrùza!;;;;;;x
BREAKCOUNTRY_BTN3;Goto;Aller à;Goto;IdŸ do;Ir allí;Andare;Menj ide;Pøejít na;;;;;;x
BREAKCOUNTRY_MAP;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRYOTHER_SETUP;When a rebel faction enforces its demands in another nation;Si une faction rebelle met ses exigences à exécution dans une autre nation;Wenn eine Rebellenfraktion ihre Forderungen in einer anderen Nation erzwingt.;;;;;;;;;;;x
BREAKCOUNTRYOTHER_HEADER;Ambassador from;Ambassadeur de;Botschafter aus;;;;;;;;;;;x
BREAKCOUNTRYOTHER_1;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;;;;;;x
BREAKCOUNTRYOTHER_2;$FACTION$ have enforced their demands in;$FACTION$ a mis ses exigences à exécution en;$FACTION$ erzwang ihre Forderungen in;;;;;;;;;;;x
BREAKCOUNTRYOTHER_3;$OTHER$;$OTHER$;$OTHER$;;;;;;;;;;;x
BREAKCOUNTRYOTHER_4;$EFFECTS$;$EFFECTS$;$EFFECTS$;;;;;;;;;;;x
BREAKCOUNTRYOTHER_5;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRYOTHER_6;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRYOTHER_LOG;$FACTION$ enforce their demands in $OTHER$!;$FACTION$ met ses exigences à exécution en $OTHER$ !;$FACTION$ erzwingt ihre Forderungen in $OTHER$!!;;;;;;;;;;;x
BREAKCOUNTRYOTHER_BTN1;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
BREAKCOUNTRYOTHER_BTN2;OK;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
BREAKCOUNTRYOTHER_BTN3;Goto;Aller à;Goto;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x
BREAKCOUNTRYOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
INVENTION_SETUP;When you have gained an invention.;Si vous obtenez une invention;Wenn Sie eine Erfindung erhalten haben.;;Cuando consigas hacer un invento;Quando acquisisci un'invenzione;;;;;;x;;
INVENTION_HEADER;Reports on;Rapports sur;Berichte über;;;;;;;;;;;x
INVENTION_1;Major Discovery;Découverte majeure;Große Entdeckung;;Descubrimiento importante;Grande scoperta;;;;;;x;;
INVENTION_2;Scientists in our country have discovered;Les scientifiques de notre pays ont découvert;Wissenschaftlicher unseres Landes entdeckten;;;;;;;;;;;x
INVENTION_3;$INVENTION$;$INVENTION$;$INVENTION$;;$INVENTION$;$INVENTION$;;;;;;x;;
INVENTION_4;$DESC$;$DESC$;$DESC$;;$DESC$;$DESC$;;;;;;x;;
INVENTION_5;EFFECT:;EFFET :;EFFECT:;;EFECTO:;EFFETTO:;;;;;;x;;
INVENTION_6;$EFFECT$;$EFFECT$;$EFFECT$;;$EFFECT$;$EFFECT$;;;;;;x;;
INVENTION_LOG;We have discovered how $INVENTION$ works.;Nous avons découvert comment fonctionne $INVENTION$.;Wir haben herausgefunden, wie $INVENTION$ funktioniert.;;Hemos descubierto cómo funciona el invento siguiente: $INVENTION$.;Abbiamo scoperto il funzionamento di: $INVENTION$.;;;;;;x;;
INVENTION_BTN1;OK;OK;OK;;Aceptar;OK;;;;;;x;;
INVENTION_BTN2;OK;OK;OK;;Aceptar;OK;;;;;;x;;
INVENTION_BTN3;Details;Détails;Details;;Detalles;Dettagli;;;;;;x;;
INVENTION_MAP;*;*;*;;*;*;;;;;;x;;
revanchism;Revanchism;Revanchisme;Revanchismus;;;;;;;;;;;x
plurality;Plurality;Pluralité;Pluralität;;;;;;;;;;;x
TOPBAR_LEADERSHIP_GAIN_TOOLTIP;We gain §Y$CURR$§W leadership from our officers each month.;Nos officiers nous permettent de gagner §Y$CURR$§W de commandement par mois.;Wir erhalten von unseren Offizieren monatlich §Y$CURR$§W Anführerschaft.;;;;;;;;;;;x
UW_AASIGN;Autoassign Leaders;Attribution automatique des officiers;Anführer autom. zuteilen;;;;;;;;;;;x
ATTR_SAFE_RANGE;A Fleet in range of supply ships, and near a coast will not take any attrition.;Une flotte à portée de navires ravitailleurs et à proximité d'une côte ne subit aucune usure.;Eine Flotte innerhalb der Reichweite von Versorgungsschiffen und nahe einer Küste erleidet keine Verluste.;;Una flota dentro del alcance de los barcos de suministro y cerca de una costa no sufrirá desgaste alguno.;;;;;;;;;x
TECHNOLOGYVIEW_HAVE_NOT_YEAR;It is not possible to start researching this before §Y$YEAR$§W.;Il est impossible d'entamer ces travaux de recherche avant §Y$YEAR$§W.;Die Erforschung hiervon ist nicht vor dem Jahr §Y$YEAR$§W möglich.;;;;;;;;;;;x
ENCOURAGEMENT_FOR;Encouragement for ;Encouragement pour ;Ermutigung zu;;;;;;;;;;;x
IS_NOT_PRIMARY_CULTURE;§Y$NAME$§W is NOT primary culture.\n;§Y$NAME$§W n'est PAS une culture principale.\n;§Y$NAME$§W ist NICHT Primärkultur.\n;;;;;;;;;;;x
IS_PRIMARY_CULTURE;§Y$NAME$§W is primary culture.\n;§Y$NAME$§W est une culture principale.\n;§Y$NAME$§W ist .\n;;;;;;;;;;;x
IS_NOT_ACCEPTED_CULTURE2;§Y$NAME$§W is NOT an accepted culture.\n;§Y$NAME$§W n'est PAS une culture acceptée.\n;§Y$NAME$§W ist KEINE akzeptierte Kultur.\n;;;;;;;;;;;x
IS_ACCEPTED_CULTURE2;§Y$NAME$§W is an accepted culture.\n;§Y$NAME$§W est une culture acceptée.\n;§Y$NAME$§W ist eine akzeptierte Kultur.\n;;;;;;;;;;;x
ALL_COUNTRIES_EFF;All countries;Tous les pays;Alle Länder;;;;;;;;;;;x
ALL_COUNTRIES_THAT_EFF;All countries that;Tous les pays qui;Alle Länder, die;;;;;;;;;;;x
GETTING_ONLY_NEEDS;Getting only $NEED$: §Y$VAL$%§W;Obtention d'à peine $NEED$: §Y$VAL$%§W;Erhält lediglich $NEED$: §Y$VAL$%§W;;;;;;;;;;;x
tutorial_chapter_introduction;End of Introduction.;Fin de l'introduction.;Ende der Einleitung.;;;;;;;;;;;x
tutorial_end_of_chapter;End of Tutorial Chapter;Fin du chapitre du didacticiel;Ende des Tutorialkapitels;;;;;;;;;;;x
ISSUE_MOVE_EFFECT;§Y$PERCENTAGE$%§W of pops move from §YFROM§W to §YTO§W;§Y$PERCENTAGE$%§W des POP émigrent de §YFROM§W vers §YTO§W;§Y$PERCENTAGE$%§W der Bevs ziehen von §YFROM§W nach §YTO§W um.;;;;;;;;;;;x
ADD_WARGOAL_EFFECT;When we add this war goal, we will gain:;Si nous ajoutons cet objectif de guerre, nous obtiendrons :;Wenn wir dieses Kriegsziel hinzufügen, erhalten wir:;;;;;;;;;;;x
ADD_WARGOAL_SUCCESS;If we achive this war goal, we will gain:;Si nous atteignons cet objectif de guerre, nous obtiendrons :;Wenn wir dieses Kriegsziel erreichen, erhalten wir:;;;;;;;;;;;x
ADD_WARGOAL_FAILURE;If we fail to achive this war goal, we will gain:;Si nous manquons cet objectif de guerre, nous obtiendrons :;Wenn wir dieses Kriegsziel nicht erreichen, erhalten wir:;;;;;;;;;;;x
WARDIALOG_TRUCE;Truce: ;Trêve : ;Waffenruhe:;;;;;;;;;;;x
WARDIALOG_NOCB;No casus belli: ;Pas de casus belli : ;Kein Kriegsgrund:;;;;;;;;;;;x
DIPLOMACY_INFAMY2;Infamy: $VALUE$;Déshonneur : $VALUE$;Infamie: $VALUE$;;;;;;;;;;;x
DIPLOMACY_PRESTIGE2;Prestige: $VALUE$;Prestige : $VALUE$;Prestige: $VALUE$;;;;;;;;;;;x
DIPLOMACY_MILITANCY2;Militancy: $VALUE$;Militantisme : $VALUE$;Militanz: $VALUE$;;;;;;;;;;;x
REMOVE_DIPLOMACY_WARDIALOG_ALLIES;§Y$COUNTRY$§W has the following allies:;§Y$COUNTRY$§W a les alliés suivants :;§Y$COUNTRY$§W hat folgende Verbündete:;;;;;;;;;;;x
REMOVE_DIPLOMACY_WARDIALOG_NUM_ALLIES;§Y$COUNTRY$§W has §Y$NUM$§W allies;§Y$COUNTRY$§W a §Y$NUM$§W alliés;§Y$COUNTRY$§W hat §Y$NUM$§W Verbündete.;;;;;;;;;;;x
